spread_id,enabled,display_name,family,anchor_root,anchor_rank,unit,core,model_enabled,complexity_tier,algebra_group,notes
HO1_CL1,TRUE,HO M1 / WTI Same-Month Crack,Crack,HO,1,USD/bbl,TRUE,TRUE,1,HO_WTI_M1,Primary US distillate crack
HO2_CL2,TRUE,HO M2 / WTI Same-Month Crack,Crack,HO,2,USD/bbl,TRUE,TRUE,1,HO_WTI_M2,Second executable package cohort
HO1_CO2,TRUE,HO M1 / Brent M+1 Crack,Crack,HO,1,USD/bbl,TRUE,TRUE,1,HO_BRENT_EXP_M1,Expiry-aligned HO-Brent structure requested
HO2_CO3,TRUE,HO M2 / Brent M+1 Crack,Crack,HO,2,USD/bbl,TRUE,TRUE,1,HO_BRENT_EXP_M2,Deferred expiry-aligned HO-Brent
HO1_CO1,TRUE,HO M1 / Brent Same-Month Crack,Crack,HO,1,USD/bbl,FALSE,TRUE,1,HO_BRENT_M1,Economic-month comparator; may roll early
QS1_CO1,TRUE,QS M1 / Brent Same-Month Crack,Crack,QS,1,USD/bbl,TRUE,TRUE,1,QS_BRENT_M1,ICE gasoil-Brent economic crack
QS2_CO2,TRUE,QS M2 / Brent Same-Month Crack,Crack,QS,2,USD/bbl,TRUE,TRUE,1,QS_BRENT_M2,Second executable package cohort
QS1_CO2,TRUE,QS M1 / Brent M+1 Crack,Crack,QS,1,USD/bbl,TRUE,TRUE,1,QS_BRENT_NEXT,Expiry-aligned sensitivity
QS1_CL1,TRUE,QS M1 / WTI Same-Month Crack,Crack,QS,1,USD/bbl,TRUE,TRUE,1,QS_WTI_M1,Transatlantic crude benchmark comparison
QS2_CL2,TRUE,QS M2 / WTI Same-Month Crack,Crack,QS,2,USD/bbl,TRUE,TRUE,1,QS_WTI_M2,Deferred comparison
HO1_HO2,TRUE,HO M1-M2 Calendar,Calendar,HO,1,USD/bbl,TRUE,TRUE,1,HO_CAL_12,Positive means backwardation
QS1_QS2,TRUE,QS M1-M2 Calendar,Calendar,QS,1,USD/bbl,TRUE,TRUE,1,QS_CAL_12,Positive means backwardation
